section_number,title,chapter,bailable,compoundable,punishment,explanation_en,explanation_hi,keywords,tags,examples,case_refs,news
318,Concealment of birth by secret disposal of dead body,Chapter XVI,True,True,"Imprisonment up to 2 years, or fine, or both","Whoever, by secretly burying or otherwise disposing of the dead body of a child, whether such child died before, or at or after its birth, intentionally conceals or endeavours to conceal the birth of such child, shall be punished with imprisonment up to 2 years, or with fine, or with both.","जो कोई किसी बच्चे के मृत शरीर को गुप्त रूप से दफनाकर या अन्यथा हटाकर, चाहे वह बच्चा जन्म से पहले, जन्म के समय या जन्म के बाद मरा हो, जानबूझकर ऐसे बच्चे के जन्म को छुपाता है या छुपाने का प्रयास करता है, उसे 2 वर्ष तक के कारावास, या जुर्माने, या दोनों से दंडित किया जाएगा।","[""concealment"", ""birth"", ""dead body""]","[""child protection""]","[""Secretly burying a stillborn child to conceal its birth."", ""Throwing the dead body of a newborn in a river to hide the fact of birth.""]",[],[]
319,Hurt,Chapter XVI,True,True,Punishable under sections 323 and 324 depending on gravity,"Whoever causes bodily pain, disease or infirmity to any person is said to cause hurt.","जो कोई किसी व्यक्ति को शारीरिक दर्द, रोग या दुर्बलता कारित करता है, वह चोट कारित करना कहा जाता है।","[""hurt"", ""bodily pain""]","[""assault""]","[""Slapping someone causing pain and redness on the cheek."", ""Pushing a person, leading to minor bruises.""]",[],[]
320,Grievous hurt,Chapter XVI,True,True,Punishable under sections 325 and 326 depending on circumstances,The following kinds of hurt are designated as 'grievous': 1. Emasculation; 2. Permanent privation of the sight of either eye; 3. Permanent privation of the hearing of either ear; 4. Privation of any member or joint; 5. Destruction or permanent impairing of the powers of any member or joint; 6. Permanent disfiguration of the head or face; 7. Fracture or dislocation of a bone or tooth; 8. Any hurt which endangers life or which causes the sufferer to be in severe bodily pain for 20 days or unable to follow his ordinary pursuits for the same period.,निम्न प्रकार की चोटों को 'गंभीर चोट' कहा जाता है: 1. नपुंसकता; 2. किसी एक आंख की दृष्टि की स्थायी हानि; 3. किसी एक कान की सुनने की शक्ति की स्थायी हानि; 4. किसी अंग या जोड़ की हानि; 5. किसी अंग या जोड़ की शक्तियों का नष्ट या स्थायी रूप से क्षीण होना; 6. सिर या चेहरे का स्थायी विकृति; 7. हड्डी या दांत का टूटना या विस्थापन; 8. कोई ऐसी चोट जिससे जीवन को खतरा हो या पीड़ित को 20 दिनों तक गंभीर शारीरिक पीड़ा हो या समान अवधि तक सामान्य कार्य करने में असमर्थ बना दे।,"[""grievous hurt"", ""serious injury""]","[""assault"", ""serious offences""]","[""Breaking someone's arm during an assault."", ""Causing severe facial disfigurement with acid.""]",[],[]
321,Voluntarily causing hurt,Chapter XVI,True,True,"Imprisonment up to 1 year, or fine up to 1000 rupees, or both","Whoever voluntarily causes hurt, shall be punished with imprisonment up to 1 year, or with fine up to 1000 rupees, or with both.","जो कोई स्वेच्छा से चोट पहुंचाता है, उसे 1 वर्ष तक के कारावास, या 1000 रुपये तक के जुर्माने, या दोनों से दंडित किया जाएगा।","[""voluntarily"", ""hurt"", ""injury""]","[""assault""]","[""Slapping someone in anger causing pain and swelling."", ""Hitting a person with a stick during a minor quarrel.""]",[],[]
322,Voluntarily causing grievous hurt,Chapter XVI,True,True,Punishable under section 325,"Whoever voluntarily causes grievous hurt, shall be punished under section 325 of IPC.","जो कोई स्वेच्छा से गंभीर चोट पहुंचाता है, उसे आईपीसी की धारा 325 के अंतर्गत दंडित किया जाएगा।","[""voluntarily"", ""grievous hurt"", ""serious injury""]","[""assault"", ""serious offences""]","[""Intentionally breaking someone's leg during a fight."", ""Causing permanent disfiguration of a person's face with acid.""]",[],[]
323,Punishment for voluntarily causing hurt,Chapter XVI,True,True,"Imprisonment up to 1 year, or fine up to 1000 rupees, or both","Whoever, except in the case provided for by section 334, voluntarily causes hurt, shall be punished with imprisonment up to 1 year, or with fine up to 1000 rupees, or with both.","जो कोई, धारा 334 द्वारा उपबंधित मामले को छोड़कर, स्वेच्छा से चोट पहुंचाता है, उसे 1 वर्ष तक के कारावास, या 1000 रुपये तक के जुर्माने, या दोनों से दंडित किया जाएगा।","[""hurt"", ""voluntarily"", ""punishment""]","[""assault""]","[""Punching a person during an argument."", ""Hitting someone with a small object causing pain.""]",[],[]
324,Voluntarily causing hurt by dangerous weapons or means,Chapter XVI,True,True,"Imprisonment up to 3 years, or fine, or both","Whoever, except in the case provided for by section 334, voluntarily causes hurt by means of any instrument for shooting, stabbing or cutting, or any instrument which, used as a weapon of offence, is likely to cause death, or by means of fire or any heated substance, or by means of any poison or corrosive substance, shall be punished with imprisonment up to 3 years, or with fine, or with both.","जो कोई, धारा 334 द्वारा उपबंधित मामले को छोड़कर, किसी भी गोली चलाने, चाकू मारने या काटने के उपकरण, या किसी ऐसे उपकरण से जो अपराध में हथियार के रूप में प्रयुक्त होने पर मृत्यु कारित करने की संभावना हो, या आग या किसी गर्म पदार्थ से, या किसी विष या संक्षारक पदार्थ से चोट पहुंचाता है, उसे 3 वर्ष तक के कारावास, या जुर्माने, या दोनों से दंडित किया जाएगा।","[""hurt"", ""dangerous weapons"", ""voluntarily""]","[""assault"", ""serious offences""]","[""Stabbing someone with a knife causing injury."", ""Throwing acid on a person causing burns.""]",[],[]
325,Punishment for voluntarily causing grievous hurt,Chapter XVI,True,True,"Imprisonment up to 7 years, and fine","Whoever, except in the case provided for by section 335, voluntarily causes grievous hurt, shall be punished with imprisonment up to 7 years, and shall also be liable to fine.","जो कोई, धारा 335 द्वारा उपबंधित मामले को छोड़कर, स्वेच्छा से गंभीर चोट पहुंचाता है, उसे 7 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""grievous hurt"", ""voluntarily"", ""punishment""]","[""assault"", ""serious offences""]","[""Breaking someone's arm intentionally during a fight."", ""Causing blindness in an eye during an assault.""]",[],[]
326,Voluntarily causing grievous hurt by dangerous weapons or means,Chapter XVI,False,False,"Imprisonment for life, or imprisonment up to 10 years, and fine","Whoever, except in the case provided for by section 335, voluntarily causes grievous hurt by means of any instrument for shooting, stabbing, or cutting, or by means of any instrument which used as a weapon of offence is likely to cause death, or by means of fire or any heated substance, or by means of any poison or corrosive substance, shall be punished with imprisonment for life, or imprisonment up to 10 years, and shall also be liable to fine.","जो कोई, धारा 335 द्वारा उपबंधित मामले को छोड़कर, गोली चलाने, चाकू मारने, काटने, या किसी ऐसे हथियार से जो मृत्यु कारित करने की संभावना रखता हो, या आग, गर्म पदार्थ, विष या संक्षारक पदार्थ से गंभीर चोट पहुंचाता है, उसे आजीवन कारावास या 10 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""grievous hurt"", ""dangerous weapons"", ""acid attack""]","[""serious offences"", ""assault""]","[""Throwing acid on a person causing permanent disfigurement."", ""Shooting a person with a gun causing serious injury."", ""Attacking with a sword causing loss of limb.""]",[],[]
326A,Voluntarily causing grievous hurt by use of acid,Chapter XVI,False,False,"Imprisonment not less than 10 years, which may extend to life imprisonment, and fine","Whoever causes permanent or partial damage, deformity, burns, maiming, disfigurement, or disables any part of the body of a person by throwing acid or by administering acid to that person, shall be punished with imprisonment not less than 10 years which may extend to life imprisonment, and shall also be liable to fine.","जो कोई किसी व्यक्ति पर एसिड फेंककर या एसिड पिलाकर उसके शरीर के किसी भाग को स्थायी या आंशिक रूप से क्षति, विकृति, जलने, अपंगता या विकृत करता है, उसे 10 वर्ष से कम की नहीं और आजीवन कारावास तक की सजा और जुर्माने से दंडित किया जाएगा।","[""acid attack"", ""grievous hurt"", ""women safety""]","[""serious offences"", ""women protection""]","[""Throwing acid on a woman causing facial disfigurement."", ""Pouring acid on a person's body causing permanent burns.""]",[],[]
326B,Voluntarily throwing or attempting to throw acid,Chapter XVI,False,False,"Imprisonment not less than 5 years, which may extend to 7 years, and fine","Whoever throws or attempts to throw acid on any person, or attempts to administer acid to any person, shall be punished with imprisonment not less than 5 years, which may extend to 7 years, and shall also be liable to fine.","जो कोई किसी व्यक्ति पर एसिड फेंकता है या फेंकने का प्रयास करता है, या किसी व्यक्ति को एसिड पिलाने का प्रयास करता है, उसे 5 वर्ष से कम की नहीं और 7 वर्ष तक की सजा और जुर्माने से दंडित किया जाएगा।","[""acid attack"", ""attempt"", ""women safety""]","[""serious offences"", ""women protection""]","[""Attempting to throw acid on a person but missing the target."", ""Trying to pour acid on someone but being stopped before completion.""]",[],[]
327,"Voluntarily causing hurt to extort property, or to constrain to an illegal act",Chapter XVI,False,False,Imprisonment up to 10 years and fine,"Whoever voluntarily causes hurt, for the purpose of extorting from the sufferer or any person interested in the sufferer any property or valuable security, or of constraining the sufferer or any person interested in the sufferer to do anything which is illegal or which may facilitate the commission of an offence, shall be punished with imprisonment up to 10 years and fine.","जो कोई किसी व्यक्ति से या उससे संबंधित किसी व्यक्ति से संपत्ति या बहुमूल्य सुरक्षा प्राप्त करने के उद्देश्य से, या उसे या उससे संबंधित किसी व्यक्ति को कोई अवैध कार्य करने या किसी अपराध को करने में सहायता करने के लिए विवश करने के उद्देश्य से, स्वेच्छा से चोट पहुंचाता है, उसे 10 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""extortion"", ""hurt"", ""illegal act""]","[""serious offences"", ""extortion""]","[""Beating a person to force him to sign property papers."", ""Causing hurt to a victim to extort money from family members.""]",[],[]
328,"Causing hurt by means of poison, etc., with intent to commit an offence",Chapter XVI,False,False,Imprisonment up to 10 years and fine,"Whoever administers to, or causes to be taken by any person any poison or any stupefying, intoxicating or unwholesome drug with intent to commit or facilitate the commission of an offence or to facilitate the flight of an offender, shall be punished with imprisonment up to 10 years and fine.","जो कोई किसी व्यक्ति को किसी अपराध को करने या अपराधी के भागने में सहायता करने के उद्देश्य से विष, नशे की दवा, मद्यपानकारी पदार्थ या हानिकारक औषधि देता है या देने का कारण बनता है, उसे 10 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""poisoning"", ""hurt"", ""offence facilitation""]","[""serious offences""]","[""Drugging a person to commit robbery."", ""Poisoning food to facilitate theft in a house.""]",[],[]
329,"Voluntarily causing grievous hurt to extort property, or to constrain to an illegal act",Chapter XVI,False,False,"Imprisonment for life, or imprisonment up to 10 years, and fine","Whoever voluntarily causes grievous hurt for the purpose of extorting from the sufferer, or any person interested in the sufferer, any property or valuable security, or of constraining the sufferer or any person interested in the sufferer to do anything which is illegal or which may facilitate the commission of an offence, shall be punished with imprisonment for life, or with imprisonment up to 10 years, and shall also be liable to fine.","जो कोई किसी व्यक्ति से या उससे संबंधित व्यक्ति से संपत्ति या बहुमूल्य सुरक्षा प्राप्त करने के उद्देश्य से, या उसे या उससे संबंधित व्यक्ति को कोई अवैध कार्य करने या किसी अपराध को करने में सहायता करने के लिए विवश करने के उद्देश्य से स्वेच्छा से गंभीर चोट पहुंचाता है, उसे आजीवन कारावास या 10 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""extortion"", ""grievous hurt"", ""illegal act""]","[""serious offences"", ""extortion""]","[""Torturing a person to extract ransom from family members."", ""Inflicting serious injuries on a businessman to force him to sign over property.""]",[],[]
330,"Voluntarily causing hurt to extort confession, or to compel restoration of property",Chapter XVI,False,False,"Imprisonment up to 7 years, and fine","Whoever voluntarily causes hurt to any person for the purpose of extorting from the sufferer or from any person interested in the sufferer any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the sufferer or any person interested in the sufferer to restore or cause the restoration of any property or valuable security, shall be punished with imprisonment up to 7 years, and shall also be liable to fine.","जो कोई किसी व्यक्ति से या उससे संबंधित व्यक्ति से किसी अपराध या कदाचार का पता लगाने के लिए कोई स्वीकारोक्ति या जानकारी प्राप्त करने, या संपत्ति या बहुमूल्य सुरक्षा को लौटाने या लौटवाने के लिए विवश करने के उद्देश्य से स्वेच्छा से चोट पहुंचाता है, उसे 7 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""extortion"", ""hurt"", ""confession"", ""restoration""]","[""serious offences"", ""extortion""]","[""Beating a suspect to force a confession."", ""Physically assaulting a person to recover stolen goods.""]",[],[]
331,"Voluntarily causing grievous hurt to extort confession, or to compel restoration of property",Chapter XVI,False,False,"Imprisonment for life, or imprisonment up to 10 years, and fine","Whoever voluntarily causes grievous hurt for the purpose of extorting from the sufferer, or any person interested in the sufferer, any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the sufferer or any person interested in the sufferer to restore or cause the restoration of any property or valuable security, shall be punished with imprisonment for life, or with imprisonment up to 10 years, and shall also be liable to fine.","जो कोई किसी व्यक्ति से या उससे संबंधित व्यक्ति से किसी अपराध या कदाचार का पता लगाने के लिए कोई स्वीकारोक्ति या जानकारी प्राप्त करने, या संपत्ति या बहुमूल्य सुरक्षा को लौटाने या लौटवाने के लिए विवश करने के उद्देश्य से स्वेच्छा से गंभीर चोट पहुंचाता है, उसे आजीवन कारावास या 10 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""extortion"", ""grievous hurt"", ""confession"", ""restoration""]","[""serious offences"", ""extortion""]","[""Torturing a detainee to extract a confession regarding theft."", ""Causing grievous injury to force the return of property.""]",[],[]
332,Voluntarily causing hurt to deter public servant from his duty,Chapter XVI,False,False,"Imprisonment up to 3 years, or fine, or both","Whoever voluntarily causes hurt to any person being a public servant in the discharge of his duty as such public servant, or with intent to prevent or deter that person or any other public servant from discharging his duty as such, or in consequence of anything done or attempted to be done by that person in the lawful discharge of his duty, shall be punished with imprisonment up to 3 years, or with fine, or with both.","जो कोई किसी व्यक्ति को, जो कि लोक सेवक है, उसके लोक सेवक के रूप में कर्तव्य के निर्वहन में चोट पहुंचाता है, या उसे या किसी अन्य लोक सेवक को उसके कर्तव्य के निर्वहन से रोकने या हतोत्साहित करने के उद्देश्य से चोट पहुंचाता है, उसे 3 वर्ष तक के कारावास, या जुर्माने, या दोनों से दंडित किया जाएगा।","[""hurt"", ""public servant"", ""deterrence""]","[""serious offences""]","[""Attacking a police officer to prevent arrest."", ""Hitting a government officer to stop seizure of property.""]",[],[]
333,Voluntarily causing grievous hurt to deter public servant from his duty,Chapter XVI,False,False,"Imprisonment up to 10 years, and fine","Whoever voluntarily causes grievous hurt to any person being a public servant in the discharge of his duty as such public servant, or with intent to prevent or deter that person or any other public servant from discharging his duty as such, or in consequence of anything done or attempted to be done by that person in the lawful discharge of his duty, shall be punished with imprisonment up to 10 years, and shall also be liable to fine.","जो कोई किसी व्यक्ति को, जो कि लोक सेवक है, उसके लोक सेवक के रूप में कर्तव्य के निर्वहन में गंभीर चोट पहुंचाता है, या उसे या किसी अन्य लोक सेवक को उसके कर्तव्य के निर्वहन से रोकने या हतोत्साहित करने के उद्देश्य से गंभीर चोट पहुंचाता है, उसे 10 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""grievous hurt"", ""public servant"", ""deterrence""]","[""serious offences""]","[""Breaking the arm of a police officer during resistance to arrest."", ""Causing severe injury to a revenue officer while preventing land seizure.""]",[],[]
334,Voluntarily causing hurt on provocation,Chapter XVI,True,True,"Imprisonment up to 1 month, or fine up to 500 rupees, or both","Whoever voluntarily causes hurt on grave and sudden provocation, if the provocation is not sought or voluntarily provoked by the offender as an excuse for hurting any person, shall be punished with imprisonment up to 1 month, or with fine up to 500 rupees, or with both.","जो कोई गंभीर और अचानक उत्तेजना पर स्वेच्छा से चोट पहुंचाता है, यदि उत्तेजना अपराधी द्वारा जानबूझकर प्राप्त नहीं की गई है या किसी व्यक्ति को चोट पहुंचाने के बहाने के रूप में स्वयं उत्तेजित नहीं किया गया है, तो उसे 1 माह तक के कारावास, या 500 रुपये तक के जुर्माने, या दोनों से दंडित किया जाएगा।","[""hurt"", ""provocation"", ""sudden provocation""]","[""assault""]","[""Slapping a person after being suddenly provoked by abusive language."", ""Hitting someone with a hand after a sudden insult.""]",[],[]
335,Voluntarily causing grievous hurt on provocation,Chapter XVI,True,True,"Imprisonment up to 4 years, or fine up to 2000 rupees, or both","Whoever voluntarily causes grievous hurt on grave and sudden provocation, if the provocation is not sought or voluntarily provoked by the offender as an excuse for hurting any person, shall be punished with imprisonment up to 4 years, or with fine up to 2000 rupees, or with both.","जो कोई गंभीर और अचानक उत्तेजना पर स्वेच्छा से गंभीर चोट पहुंचाता है, यदि उत्तेजना अपराधी द्वारा जानबूझकर प्राप्त नहीं की गई है या किसी व्यक्ति को चोट पहुंचाने के बहाने के रूप में स्वयं उत्तेजित नहीं किया गया है, तो उसे 4 वर्ष तक के कारावास, या 2000 रुपये तक के जुर्माने, या दोनों से दंडित किया जाएगा।","[""grievous hurt"", ""provocation"", ""sudden provocation""]","[""assault"", ""serious offences""]","[""Fracturing someone's hand after sudden provocation."", ""Causing severe injury during a heated, provoked argument.""]",[],[]
336,Act endangering life or personal safety of others,Chapter XVI,True,True,"Imprisonment up to 3 months, or fine up to 250 rupees, or both","Whoever does any act so rashly or negligently as to endanger human life or the personal safety of others, shall be punished with imprisonment up to 3 months, or with fine up to 250 rupees, or with both.","जो कोई ऐसा कार्य लापरवाही या उतावलेपन से करता है जिससे मानव जीवन या दूसरों की व्यक्तिगत सुरक्षा को खतरा उत्पन्न होता है, उसे 3 माह तक के कारावास, या 250 रुपये तक के जुर्माने, या दोनों से दंडित किया जाएगा।","[""rash act"", ""negligence"", ""danger to life""]","[""public safety""]","[""Driving a vehicle rashly in a crowded area endangering pedestrians."", ""Throwing heavy objects from a building without checking below.""]",[],[]
337,Causing hurt by act endangering life or personal safety of others,Chapter XVI,True,True,"Imprisonment up to 6 months, or fine up to 500 rupees, or both","Whoever causes hurt to any person by doing any act so rashly or negligently as to endanger human life or the personal safety of others, shall be punished with imprisonment up to 6 months, or with fine up to 500 rupees, or with both.","जो कोई ऐसा कार्य लापरवाही या उतावलेपन से करता है जिससे मानव जीवन या दूसरों की व्यक्तिगत सुरक्षा को खतरे में डालकर किसी व्यक्ति को चोट पहुंचाता है, उसे 6 माह तक के कारावास, या 500 रुपये तक के जुर्माने, या दोनों से दंडित किया जाएगा।","[""hurt"", ""rash act"", ""negligence""]","[""public safety"", ""assault""]","[""Rash driving causing injury to a pedestrian."", ""Negligently throwing objects that hit someone.""]",[],[]
338,Causing grievous hurt by act endangering life or personal safety of others,Chapter XVI,True,True,"Imprisonment up to 2 years, or fine up to 1000 rupees, or both","Whoever causes grievous hurt to any person by doing any act so rashly or negligently as to endanger human life or the personal safety of others, shall be punished with imprisonment up to 2 years, or with fine up to 1000 rupees, or with both.","जो कोई ऐसा कार्य लापरवाही या उतावलेपन से करता है जिससे मानव जीवन या दूसरों की व्यक्तिगत सुरक्षा को खतरे में डालकर किसी व्यक्ति को गंभीर चोट पहुंचाता है, उसे 2 वर्ष तक के कारावास, या 1000 रुपये तक के जुर्माने, या दोनों से दंडित किया जाएगा।","[""grievous hurt"", ""rash act"", ""negligence""]","[""public safety"", ""serious offences""]","[""Speeding and hitting a bike causing severe injuries to the rider."", ""Negligent crane operation leading to serious injury to a worker.""]",[],[]
339,Wrongful restraint,Chapter XVI,True,True,"Simple imprisonment up to 1 month, or fine up to 500 rupees, or both","Whoever voluntarily obstructs any person so as to prevent that person from proceeding in any direction in which that person has a right to proceed, is said to wrongfully restrain that person, and shall be punished with simple imprisonment up to 1 month, or with fine up to 500 rupees, or with both.","जो कोई किसी व्यक्ति को उस दिशा में जाने से रोकता है जिसमें वह जाने का अधिकार रखता है, वह व्यक्ति को गलत तरीके से रोकता है और उसे 1 माह तक के साधारण कारावास या 500 रुपये तक के जुर्माने या दोनों से दंडित किया जाएगा।","[""wrongful restraint"", ""obstruction""]","[""personal liberty""]","[""Blocking someone's path during a dispute to prevent them from leaving."", ""Physically standing in the way to stop a person from proceeding.""]",[],[]
340,Wrongful confinement,Chapter XVI,True,True,Punishable as per related sections depending on the circumstances,Wrongful confinement is wrongful restraint of a person in such a manner as to prevent that person from proceeding beyond certain circumscribing limits.,गलत तरीके से बंदी बनाना वह गलत रोक है जिसमें किसी व्यक्ति को कुछ सीमाओं के बाहर जाने से रोका जाता है।,"[""wrongful confinement"", ""illegal detention""]","[""personal liberty""]","[""Locking someone inside a room to prevent them from leaving."", ""Detaining a person in a vehicle against their will.""]",[],[]
341,Punishment for wrongful restraint,Chapter XVI,True,True,"Simple imprisonment up to 1 month, or fine up to 500 rupees, or both","Whoever wrongfully restrains any person shall be punished with simple imprisonment up to 1 month, or with fine up to 500 rupees, or with both.","जो कोई किसी व्यक्ति को गलत तरीके से रोकता है, उसे 1 माह तक के साधारण कारावास या 500 रुपये तक के जुर्माने या दोनों से दंडित किया जाएगा।","[""wrongful restraint"", ""punishment""]","[""personal liberty""]","[""Preventing a person from leaving an area during a personal dispute."", ""Blocking someone's vehicle deliberately to stop them from moving.""]",[],[]
342,Punishment for wrongful confinement,Chapter XVI,True,True,"Imprisonment up to 1 year, or fine up to 1000 rupees, or both","Whoever wrongfully confines any person shall be punished with imprisonment up to 1 year, or with fine up to 1000 rupees, or with both.","जो कोई किसी व्यक्ति को गलत तरीके से बंदी बनाता है, उसे 1 वर्ष तक के कारावास या 1000 रुपये तक के जुर्माने या दोनों से दंडित किया जाएगा।","[""wrongful confinement"", ""punishment""]","[""personal liberty""]","[""Locking an employee in an office to force them to stay."", ""Forcibly detaining a customer inside a shop over a dispute.""]",[],[]
343,Wrongful confinement for three or more days,Chapter XVI,True,False,"Imprisonment up to 2 years, and fine","Whoever wrongfully confines any person for three or more days shall be punished with imprisonment up to 2 years, and shall also be liable to fine.","जो कोई किसी व्यक्ति को तीन दिन या उससे अधिक समय के लिए गलत तरीके से बंदी बनाता है, उसे 2 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""wrongful confinement"", ""three days"", ""extended detention""]","[""personal liberty""]","[""Illegally confining a person inside a warehouse for several days."", ""Detaining someone at home for more than three days without consent.""]",[],[]
344,Wrongful confinement for ten or more days,Chapter XVI,True,False,"Imprisonment up to 3 years, and fine","Whoever wrongfully confines any person for ten or more days shall be punished with imprisonment up to 3 years, and shall also be liable to fine.","जो कोई किसी व्यक्ति को दस दिन या उससे अधिक समय के लिए गलत तरीके से बंदी बनाता है, उसे 3 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""wrongful confinement"", ""ten days"", ""extended detention""]","[""personal liberty""]","[""Keeping a person locked in a room for over ten days against their will."", ""Illegally detaining a domestic worker in a house for more than ten days.""]",[],[]
345,Wrongful confinement of person for whose liberation writ has been issued,Chapter XVI,False,False,"Imprisonment up to 2 years, and fine","Whoever, knowing that a writ has been issued by any court for the liberation of any person in confinement, wrongfully confines that person in disobedience of such writ shall be punished with imprisonment up to 2 years, and shall also be liable to fine.","जो कोई यह जानते हुए कि किसी व्यक्ति की मुक्ति के लिए किसी न्यायालय द्वारा रिट जारी की गई है, उस व्यक्ति को उस रिट का उल्लंघन करते हुए गलत तरीके से बंदी बनाए रखता है, उसे 2 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""wrongful confinement"", ""writ disobedience"", ""habeas corpus""]","[""personal liberty"", ""contempt of court""]","[""Police detaining a person despite a court order for release."", ""Illegally keeping someone in custody after a habeas corpus writ.""]",[],[]
346,Wrongful confinement in secret,Chapter XVI,False,False,Imprisonment up to 2 years in addition to other punishments,"Whoever wrongfully confines any person in such a manner as to indicate an intention that the confinement of such person may not be known to any person interested in the person confined, or to any public servant, or that the place of such confinement may not be known, shall be punished with imprisonment up to 2 years in addition to any other punishment to which the offender may be liable for such wrongful confinement.","जो कोई किसी व्यक्ति को इस प्रकार गलत तरीके से बंदी बनाता है जिससे यह संकेत मिले कि बंदी बनाए गए व्यक्ति की बंदी बनाने की बात किसी संबंधित व्यक्ति या लोक सेवक को या बंदी बनाने की जगह की जानकारी न हो, उसे उस गलत बंदी बनाने के लिए लागू अन्य सजा के अतिरिक्त 2 वर्ष तक के कारावास से दंडित किया जाएगा।","[""wrongful confinement"", ""secret detention"", ""hidden detention""]","[""personal liberty"", ""serious offences""]","[""Detaining a person in a secret underground room to prevent discovery."", ""Kidnapping and hiding a person in an unknown location.""]",[],[]
347,"Wrongful confinement to extort property, or constrain to illegal act",Chapter XVI,False,False,"Imprisonment up to 3 years, and fine","Whoever wrongfully confines any person for the purpose of extorting from the person confined or any person interested in the person confined, any property or valuable security or of constraining the person confined or any person interested in such person to do anything illegal or to facilitate the commission of an offence, shall be punished with imprisonment up to 3 years, and shall also be liable to fine.","जो कोई किसी व्यक्ति को इस उद्देश्य से गलत तरीके से बंदी बनाता है कि उससे या उससे संबंधित व्यक्ति से कोई संपत्ति या बहुमूल्य सुरक्षा प्राप्त कर सके या उसे कोई अवैध कार्य करने या किसी अपराध को करने में सहायता करने के लिए विवश कर सके, उसे 3 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""wrongful confinement"", ""extortion"", ""illegal act""]","[""serious offences"", ""extortion""]","[""Locking a person in a warehouse to force them to sign property documents."", ""Detaining a businessman to extort ransom from his family.""]",[],[]
348,Wrongful confinement to extort confession or compel restoration of property,Chapter XVI,False,False,"Imprisonment up to 3 years, and fine","Whoever wrongfully confines any person for the purpose of extorting from the person confined or any person interested in the person confined, any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the person confined or any person interested in such person to restore or cause the restoration of any property or valuable security, shall be punished with imprisonment up to 3 years, and shall also be liable to fine.","जो कोई किसी व्यक्ति को इस उद्देश्य से गलत तरीके से बंदी बनाता है कि उससे या उससे संबंधित व्यक्ति से कोई अपराध या कदाचार का पता लगाने के लिए कोई स्वीकारोक्ति या जानकारी प्राप्त कर सके, या उससे या उससे संबंधित व्यक्ति से कोई संपत्ति या बहुमूल्य सुरक्षा लौटाने या लौटवाने के लिए विवश कर सके, उसे 3 वर्ष तक के कारावास और जुर्माने से दंडित किया जाएगा।","[""wrongful confinement"", ""confession"", ""extortion"", ""property restoration""]","[""serious offences"", ""extortion""]","[""Locking a person to force them to admit to a theft."", ""Detaining someone to recover stolen property.""]",[],[]
349,Force,Chapter XVI,True,False,"Defined, not punishable by itself","A person is said to use force to another if he causes motion, change of motion, or cessation of motion to that other, or if he causes any substance to come into contact with any part of that other’s body, or with anything which that other is wearing or carrying, or with anything so situated that such contact affects that other’s sense of feeling, provided that the person causing the motion, change of motion, or cessation of motion, or causing the substance to come into contact with the other’s body, does so in such a manner that the other person feels the contact.","यदि कोई व्यक्ति किसी अन्य व्यक्ति में गति उत्पन्न करता है, गति में परिवर्तन करता है या गति को रोकता है, या किसी पदार्थ को उस व्यक्ति के शरीर के किसी भाग या उसकी पहनाई या उठाई गई किसी वस्तु से संपर्क कराता है, या ऐसी स्थिति में उस व्यक्ति की संवेदना को प्रभावित करता है, तो कहा जाएगा कि उस व्यक्ति ने दूसरे पर बल का प्रयोग किया है।","[""force"", ""motion"", ""contact""]","[""definitions""]","[""Pushing someone to change their direction."", ""Throwing water on a person intentionally.""]",[],[]
350,Criminal force,Chapter XVI,True,True,"Defined, not punishable by itself","Whoever intentionally uses force to any person, without that person’s consent, in order to commit any offence, or intending by the use of such force to cause, or knowing it to be likely that by the use of such force he will cause injury, fear or annoyance to the person to whom the force is used, is said to use criminal force to that other.","जो कोई जानबूझकर किसी व्यक्ति पर उसकी सहमति के बिना बल प्रयोग करता है ताकि कोई अपराध कर सके, या बल प्रयोग से उस व्यक्ति को चोट, भय या परेशानी पहुंचाने की मंशा से या यह जानते हुए कि बल प्रयोग से ऐसा होगा, तो कहा जाएगा कि उसने उस व्यक्ति पर आपराधिक बल प्रयोग किया है।","[""criminal force"", ""intentional"", ""fear"", ""annoyance""]","[""definitions""]","[""Slapping a person to cause fear."", ""Pushing someone to forcibly remove them from a place.""]",[],[]
